Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
Telescopic Brushes,0,1,4,1,1,1,0.0%,100.0%,Telescopic - type | motor_type | product_type | device_type,telescopic - brush type,,telescopic,device type | motor type | product type | type,brush type
Telescopic Linear Actuators,1,0,7,1,2,1,14.3%,0.0%,Telescopic - type | product_type | device_type | actuator_type |||| Linear Actuators - number_of_poles | no_of_poles | poles,linear - actuator type,actuator type,,device type | no of poles | number of poles | poles | product type | type,
Terminal plate,0,0,10,0,1,0,0.0%,0.0%,Terminal Plate - type | product_type | device_type ||||  - material | body_material | material_type ||||  - usage_application | application | usage | suitable_for,,,,application | body material | device type | material | material type | product type | suitable for | type | usage | usage application,
Three Phase Bharat Bijlee Motor,2,2,8,3,2,3,25.0%,100.0%,Three Phase - phase | phase_type | number_of_phase | input_phase |||| Bharat Bijlee - brand | company | manufacturer | make,bharat bijlee - brand |||| motor - part type |||| three phase - phase,brand | phase,bharat bijlee | three phase,company | input phase | make | manufacturer | number of phase | phase type,part type
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),2,2,17,2,5,2,11.8%,40.0%,Three Phase - phase_type | phase | number_of_phase | input_phase |||| DOL - starter_type | starting_method | starter |||| Auto - automation_grade | operation_mode | working_mode |||| With Connector (Rocker Switch) - mounting_type | mounting | mounting_style | mounting_method |||| With Timer - usage_application | application | usage,dol - starter type |||| three phase - phase,phase | starter type,dol | three phase,application | automation grade | input phase | mounting | mounting method | mounting style | mounting type | number of phase | operation mode | phase type | starter | starting method | usage | usage application | working mode,
Three Phase Dol Motor Starter,2,1,8,3,2,3,25.0%,50.0%,Three Phase - phase_type | phase | number_of_phase | input_phase |||| Dol Motor Starter - starter_type | starting_method | starter | starting_type,dol - starter type |||| motor starter - usage |||| three phase - phase,phase | starter type,three phase,input phase | number of phase | phase type | starter | starting method | starting type,usage
Three Phase Dol Starter (elcw-s-digi),2,1,9,3,3,3,22.2%,33.3%,DOL Starter - starter_type | starting_method | starter |||| Three Phase - phase | phase_type | number_of_phase |||| ELCW-S-DIGI - model_number | model_name | model,(elcw-s-digi) - model name/number |||| dol - starter type |||| three phase - phase,phase | starter type,three phase,model | model name | model number | number of phase | phase type | starter | starting method,model name/number
Three Phase Electric Motor,0,1,4,2,1,2,0.0%,100.0%,Three Phase - phase | phase_type | number_of_phase | input_phase,electric - power source |||| three phase - no of phase,,three phase,input phase | number of phase | phase | phase type,no of phase | power source
Three Phase Induction Motor,0,1,4,2,1,2,0.0%,100.0%,Three Phase - phase_type | phase | number_of_phase | input_phase,induction - motor type |||| three phase - no of phase,,three phase,input phase | number of phase | phase | phase type,motor type | no of phase
Three Phase Motor,1,1,4,2,1,2,25.0%,100.0%,Three Phase - phase | phase_type | number_of_phase | input_phase,motor - part type |||| three phase - phase,phase,three phase,input phase | number of phase | phase type,part type
Three Phase Motors Crompton Greaves,2,1,7,2,2,2,28.6%,50.0%,Crompton Greaves - brand | company | manufacturer | make |||| Three Phase - number_of_phase | phase | number_of_phase | input_phase,crompton - brand |||| three phase - phase,brand | phase,three phase,company | input phase | make | manufacturer | number of phase,
Three phase,1,1,4,1,1,1,25.0%,100.0%,Three Phase - phase | number_of_phase | input_phase | number_of_poles,three phase - phase,phase,three phase,input phase | number of phase | number of poles,
Ti Motion Linear Actuator,1,2,8,2,2,2,12.5%,100.0%,Ti Motion - brand | company | manufacturer | make |||| Linear Actuator - type | motor_type | product_type | device_type,linear actuator - actuator type |||| ti motion - brand,brand,linear actuator | ti motion,company | device type | make | manufacturer | motor type | product type | type,actuator type
Toothed Belt Axis Egc-tb,1,1,8,2,2,2,12.5%,50.0%,EGC-TB - brand | company | manufacturer | make |||| Toothed Belt Axis - type | motor_type | product_type | device_type,egc-tb - model number |||| toothed belt - type,type,egc-tb,brand | company | device type | make | manufacturer | motor type | product type,model number
Tower Fan Motor,1,0,10,2,1,2,10.0%,0.0%,Tower Fan Motor - power_source | power_supply | power_type |||| Tower Fan Motor - number_of_poles | no_of_poles | poles |||| Tower Fan Motor - usage_application | application | usage | suitable_for,motor - part type |||| tower fan - usage,usage,,application | no of poles | number of poles | poles | power source | power supply | power type | suitable for | usage application,part type
Toy motor 3v,1,1,8,1,2,1,12.5%,50.0%,3V - voltage | operating_voltage | supply_voltage | rated_voltage |||| Toy Motor - usage_application | application | usage | suitable_for,3v - voltage,voltage,3v,application | operating voltage | rated voltage | suitable for | supply voltage | usage | usage application,
Traction Motor,1,0,4,1,1,1,25.0%,0.0%,Traction Motor - type | motor_type | product_type | device_type,traction - motor type,motor type,,device type | product type | type,
Type 200 17 Inch Copper Exhaust Fan Motor,0,2,11,3,3,3,0.0%,66.7%,Type 200 - type | motor_type | product_type | device_type |||| 17 Inch - size | dimension | frame_size |||| Copper - material | body_material | material_type | casing_material,17 inch - sweep size |||| copper - winding material |||| exhaust fan - usage,,17 inch | copper,body material | casing material | device type | dimension | frame size | material | material type | motor type | product type | size | type,sweep size | usage | winding material
UR006G XGT Brushless Motor Active Feedback Sensing,1,1,16,2,4,2,6.2%,25.0%,UR006G - model_number | model_name | model | model_no |||| XGT - brand | company | manufacturer | make |||| Brushless Motor - type | motor_type | product_type | device_type |||| Active Feedback Sensing - usage_application | application | usage | suitable_for,brushless - motor type |||| ur006g - model name/number,motor type,ur006g,application | brand | company | device type | make | manufacturer | model | model name | model no | model number | product type | suitable for | type | usage | usage application,model name/number
Unbalance Motors,0,0,8,0,2,0,0.0%,0.0%,Unbalance - brand | company | manufacturer | make |||| Motors - type | motor_type | product_type | device_type,,,,brand | company | device type | make | manufacturer | motor type | product type | type,
Unbalance Vibratory Motors,0,0,4,0,1,0,0.0%,0.0%,Unbalance Vibratory - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Used Crompton Greaves Motor,1,1,7,3,2,3,14.3%,50.0%,Crompton Greaves - brand | company | manufacturer | make |||| Used - usage_application | application | usage,crompton - brand |||| motor - part type |||| used - condition,brand,used,application | company | make | manufacturer | usage | usage application,condition | part type
VDS Automatic Sliding Gate Motor,2,2,11,3,3,3,18.2%,66.7%,VDS - brand | company | manufacturer | make |||| Automatic - automation_grade | operation_mode | working_mode |||| Sliding Gate Motor - type | motor_type | product_type | device_type,automatic - automation grade |||| sliding gate - usage |||| vds - brand,automation grade | brand,automatic | vds,company | device type | make | manufacturer | motor type | operation mode | product type | type | working mode,usage
VSI motor,0,0,4,1,1,1,0.0%,0.0%,VSI - brand | company | manufacturer | make,motor - part type,,,brand | company | make | manufacturer,part type
VTV YN90-120 Motor,0,1,8,2,2,2,0.0%,50.0%,VTV - brand | company | manufacturer | make |||| YN90-120 - model_number | model_name | model | model_no,motor - part type |||| yn90-120 - model name/number,,yn90-120,brand | company | make | manufacturer | model | model name | model no | model number,model name/number | part type
Vacuum Cleaner Motors,0,0,16,2,1,2,0.0%,0.0%,Vacuum Cleaner Motors - power_source | power_supply | power_type | power_requirement ||||  - number_of_poles | no_of_poles | poles ||||  - ambient_temperature | operating_temperature | temperature_range ||||  - insulation_class | insulation_type | winding_insulation ||||  - ip_rating | protection_class | degree_of_protection,motors - part type |||| vacuum cleaner - usage,,,ambient temperature | degree of protection | insulation class | insulation type | ip rating | no of poles | number of poles | operating temperature | poles | power requirement | power source | power supply | power type | protection class | temperature range | winding insulation,part type | usage
Valve Positioners,0,0,4,1,1,1,0.0%,0.0%,Valve Positioners - model_number | model_name | model | model_no,valve - usage,,,model | model name | model no | model number,usage
Vane Type Hydraulic Motor,1,0,4,1,1,1,25.0%,0.0%,Vane Type - type | motor_type | product_type | device_type,hydraulic - type,type,,device type | motor type | product type,
Vending machine parts geair motor DC,1,1,12,2,3,2,8.3%,33.3%,GEAIR - brand | company | manufacturer | make |||| Vending Machine Parts - usage_application | application | usage | suitable_for |||| DC - power_source | power_supply | power_type | power_rating,dc - motor type |||| vending machine - usage,usage,dc,application | brand | company | make | manufacturer | power rating | power source | power supply | power type | suitable for | usage application,motor type
Venex Motor Starter,1,2,7,2,2,2,14.3%,100.0%,Venex - brand | company | manufacturer | make |||| Motor Starter - starter_type | starter_model | starting_method,motor starter - usage |||| venex - brand,brand,motor starter | venex,company | make | manufacturer | starter model | starter type | starting method,usage
Vertical Hollow Shaft Motor Service,0,1,12,1,3,1,0.0%,33.3%,Hollow Shaft Motor - type | motor_type | product_type | device_type |||| Service - usage_application | application | usage | suitable_for |||| Vertical - mounting_type | mounting | mounting_style | mounting_method,vertical - orientation,,vertical,application | device type | motor type | mounting | mounting method | mounting style | mounting type | product type | suitable for | type | usage | usage application,orientation
Vertical Motors,0,1,4,1,1,1,0.0%,100.0%,Vertical - type | motor_type | product_type | device_type,vertical - orientation,,vertical,device type | motor type | product type | type,orientation
Vibration Motor,0,0,4,0,1,0,0.0%,0.0%,Vibration - power_source | power_supply | power_type | power,,,,power | power source | power supply | power type,
Vibratory Motor Foot Mounted,1,1,8,1,2,1,12.5%,50.0%,Foot Mounted - mounting_type | mounting | mounting_style | mounting_method |||| Vibratory Motor - type | motor_type | product_type | device_type,foot mounted - mounting type,mounting type,foot mounted,device type | motor type | mounting | mounting method | mounting style | product type | type,
Vibro Sifter Motor,0,1,8,1,2,1,0.0%,50.0%,Vibro Sifter - brand | company | manufacturer | make |||| Motor - model_number | model_name | model | model_no,vibro sifter - usage,,vibro sifter,brand | company | make | manufacturer | model | model name | model no | model number,usage
Vibro Sifter Vibratory Motors,0,0,8,0,2,0,0.0%,0.0%,Vibro Sifter - brand | company | manufacturer | make |||| Vibratory Motors - model_number | model_name | model | model_no,,,,brand | company | make | manufacturer | model | model name | model no | model number,
Vintage Industrial Motor,0,0,4,2,1,2,0.0%,0.0%,Vintage Industrial - type | motor_type | product_type | device_type,industrial - usage |||| motor - part type,,,device type | motor type | product type | type,part type | usage
Vishal 8al2 Air Cooler Motor,0,0,0,4,0,4,N/A,N/A,,8al2 - model number |||| cooler - usage |||| motor - part type |||| vishal - brand,,,,brand | model number | part type | usage
Voltas AC Outdoor Fan Motor,2,2,8,4,2,4,25.0%,100.0%,Voltas - brand | company | manufacturer | make |||| Outdoor - usage_application | application | usage | suitable_for,ac - motor type |||| motor - part type |||| outdoor - usage |||| voltas - brand,brand | usage,outdoor | voltas,application | company | make | manufacturer | suitable for | usage application,motor type | part type
Wages Patti,0,1,8,1,2,1,0.0%,50.0%,Wages - brand | company | manufacturer | make |||| Patti - material | material_type | body_material | casing_material,patti - form,,patti,body material | brand | casing material | company | make | manufacturer | material | material type,form
Weg- Germany 2880RPM Motor,1,1,12,1,3,1,8.3%,33.3%,WEG - brand | company | manufacturer | make |||| 2880RPM - speed | rpm | motor_speed | rated_speed |||| Germany - origin | country_of_origin | source | manufacturing_country,2880rpm - speed,speed,2880rpm,brand | company | country of origin | make | manufacturer | manufacturing country | motor speed | origin | rated speed | rpm | source,
Weishaupt Burner Servo Motor,1,1,8,1,2,1,12.5%,50.0%,Weishaupt - brand | company | manufacturer | make |||| Servo Motor - type | motor_type | product_type | device_type,weishaupt - brand,brand,weishaupt,company | device type | make | manufacturer | motor type | product type | type,
