"fk_im_spec_master_desc","fk_im_spec_options_desc"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Automation Grade,Automatic
Brand,Ocean International
Color,"Blue, White, Gray"
Brand,Ocean International
Power Source,Electric
Power Source,Electric
Color,"Blue, White, Gray"
Brand,Ocean International
Automation Grade,Automatic
Brand,Ocean International
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Automation Grade,Automatic
Brand,Ocean International
Type,Pipe Extruder
Country of Origin,Made in India
Operation Mode,Automatic
Brand,Ocean International
Country of Origin,Made in India
Maintenance,No Maintenance
Plastic Processed,Extruder
Power Consumption,"125kW"
Maintenance,No Maintenance
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"146kW"
Maintenance,No Maintenance
Plastic Processed,Extruder
Automation Grade,Automatic
Power Consumption,"140kW"
Maintenance,No Maintenance
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Automation Grade,Automatic
Power Consumption,"155kW"
Maintenance,No Maintenance
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"50Hz"
Maintenance,No Maintenance
Plastic Processed,Extruder
Brand,Ocean International
Frequency,"60 Hz"
Automation Grade,Automatic
Power Consumption,"150kW"
Brand,Ocean International
Power Source,Electric
Material,Stainless Steel
Machine Power (kW),"60 kW"
Frequency,"50Hz"
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Machine Power,"100 kW"
Material,Stainless Steel
Material,Stainless Steel
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Plastic Processed,Yes
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,MS
Material,Stainless Steel
Frequency,"50Hz"
Machine Type,Continuous Extrusion Machine
Material,"HDPE, LDPE, PE"
Brand,Sant Engineering industries
Brand,Sant Engineering
Material,Stainless Steel
Machine Power (kW),"40 kW"
Machine Type,Twin Screw Extruder
Brand,Sant Engineering industries
Material,HDPE
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Capacity,"65kg/hr"
Material,"LD, PP, HM, Biodegradable"
Material,"LD, PP, HM, Biodegradable"
Material,"LD, PP, HM, Biodegradable"
Material,"LD, PP, HM, Biodegradable"
Brand,Athena Instruments Pvt. Ltd.
Material,"LD, PP, HM, Biodegradable"
Material,"LD, PP, HM, Biodegradable"
Brand,Ocean International
Dimensions,"25 X 20 X 16 to 30 X 25 X 24 ( L X W X H ) [ Feet ]"
Brand,Ocean International
Brand,Ocean International
Screw Design,FOR MASTERBATCH AND COMPOUNDING
Brand,AARKAY EXTRUDER
Screw Design,ABB PP PC NYLON RP PA PA66  PET PE LD HDPE
Brand,*AAR KAY
Frequency,"50Hz"
Material,Stainless Steel
Material,Stainless Steel
Frequency,"50HZ"
Machine Type,EXUDING MACHINE
Material,Mild Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Screw Design,DOUBLE SCREW
Frequency,"60 Hz"
Machine Type,Twin Screw Extruder
Machine Power (kW),"20 kW"
Frequency,"50Hz"
Plastic Processed,UPVC PVC WINDOW PROFILE
Screw Design,PARRELER TWIN SCREW & CONICAL TWIN SCREW
Brand,Helix
Machine Type,Automatic
Material,SS 304 / SS 316
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Frequency,"50Hz"
Machine Type,Single Screw  Extruder
Screw Design,TWIN SCREW AND TWIN CONICAL
Screw Number,"2"
Brand,VIRAJ EXTRUSION AND KESHAR EXTRUSION
Machine Power (kW),"60 kW"
Frequency,"50Hz"
Machine Type,Twin Screw Extruder
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Machine Power (kW),"40 kW"
Machine Type,Twin Screw Extruder
Frequency,"50Hz"
Machine Power (kW),"40 kW"
Frequency,"60 Hz"
Brand,Hpmc
Machine Type,Twin Screw Extruder
Brand,Hindustan Plastic
Brand,Anton Paar
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,Stainless Steel
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Automation Grade,Automatic
Type,Pipe Extruder
Frequency,"50Hz"
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,SS316/SS304
Material,Stainless Steel
Machine Power (kW),"20 kW"
Frequency,"50Hz"
Material,SS316/SS304
Brand,Sant Engineering Industries
Material,Iron
Material,SS
Material Grade,SS309
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,"LD, PP, HM, Biodegradable"
Material,"LD, PP, HM, Biodegradable"
Brand,Ocean International
Brand,Ocean International
Machine Power (kW),"80 kW"
Frequency,"50Hz"
Frequency,"50 Hz"
Automation Grade,Semi-Automatic
Machine Power (kW),"100 kW"
Machine Type,Pipe Extrusion Machine
Automation Grade,Automatic
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Brand,HPMC
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Brand,Hpmc
Brand,Hpmc
Machine Power (kW),"60 kW"
Frequency,"60 Hz"
Machine Type,Continuous Extrusion Machine
Machine Material,Mild Steel
Frequency,"60 Hz"
Machine Type,Twin Screw Extruder
Frequency,"50Hz"
Machine Power (kW),"6 kW"
Frequency,"50Hz"
Machine Power (kW),"40 kW"
Frequency,"50Hz"
Material,Stainless Steel
Material,Stainless Steel
Type Of Testing Machines,Electrical or Motorized
Brand,Hpmc
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Brand,Vishwakarma Industries
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Brand,HPMC
Brand,HPMC
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Brand,Hpmc
Brand,HPMC
Machine Power (kW),"60 kW"
Frequency,"60 Hz"
Machine Type,Continuous Extrusion Machine
Machine Power (kW),"60 kW"
Frequency,"75 Hz"
Material,Mild Steel
Frequency,"60 Hz"
Machine Type,Twin Screw Extruder
Machine Power (kW),"20 kW"
Frequency,"50Hz"
Machine Type,Twin Screw Extruder
Material,Stainless Steel
Material,Stainless Steel
Screw Number,"65/18"
Brand,Multitech
Material,Stainless Steel
Material,Stainless Steel
Type Of Testing Machines,Bitumen Extract
Material,Mild Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Type Of Testing Machines,Bitumen Test
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,MS/SS
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Machine Power (kW),"40 kW"
Material,Stainless Steel
Material,Stainless Steel
Material,Stainless Steel
Frequency,"50Hz"
Machine Type,Noodle Extruder Machine
Machine Power (kW),"20 kW"
Brand,Sci-tech
Brand,NATIONAL ENGINEERING WORKS
Frequency,"50Hz"
Machine Power (kW),"12kw"
Frequency,"50Hz"
Machine Power (kW),"7kw"
Machine Power (kW),"80 kW"
Frequency,"60 Hz"
Machine Type,Basket Extruder Machine
Plastic Processed,Pvc resin pipe extruder
Brand,NMEW
Installation Services,Yes
Country of Origin,Made in India
Automation Grade,Automatic
Country of Origin,Made in India
Installation Services,Yes
Voltage,"415 V"
Brand,Bet
Automation Grade,Semi Automatic
Installation Services,Yes
Machine Type,Solvent Extraction Plan
Usage/Application,"Used for extraction of spices, herbals, alkaloids, natural colors and gums. We can supply any capaci"
Country of Origin,Made in India
Power Source,Electric
Machine Type,Automatic
Machine Type,Semi Automatic
Voltage,"220V"
Material,SS
Phase,"3 Phase"
Material,SS
Usage/Application,Industrial
Voltage,"220v"
Country of Origin,Made in India
Frequency,"50 hz"
Power,"3 hp"
Steam Pressure,"5 kg"
Phase,"3 phase"
Rotor Speed,"1 rpm"
Weight,"3000 kg"
Drying Time Min,"3 hours"
Usage/Application,Herbal extrac drying
Drum Size,"1250x1250"
Diameter,"1250"
Automation Grade,Automatic
Max Temperature,"70"
Phase,Three Phase
Voltage,"220V"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Maintenance,No Maintenance
Layer,Singallayer
Country of Origin,Made in India
Screw Diameter,"45 ( mm )"
Power Source,Electric
Plastic Processed,Extruder
Weight,"3 Ton"
Brand,Ocean International
Color,Blue / White
Brand,Ocean International
Color,"Blue, White, Gray, Green"
Country of Origin,Made in India
Brand,Ocean International
Color,"Blue, White, Gray, Green"
Overall Dimension,"5 X 5 X 5 to 22 X 8 X 12 ( L X W X H )"
Country of Origin,Made in India
Country of Origin,Made in India
Phase,Three Phase
Automation Grade,Automatic
Usage/Application,Industrial
Body Material,"PP, HD, LD"
Voltage,"440 V"
Material To Be Extruded,Plastic
Machine Power (kW),"80 kW"
Frequency,"50Hz"
Automation Grade,Semi Automatic
Machine Type,Tube Extrusion Machine
Country of Origin,Made in India
Voltage,"220 V"
Country of Origin,Made in India
Phase,Three Phase
Automation Grade,Semi Automatic
Usage/Application,Industrial
Voltage,"220 V"
Automation Grade,Semi Automatic
Plastic Processed,Extruder
Brand,Ocean International
Country of Origin,Made in India
Machine Weight,"6 Ton"
Plastic Processed,Extruder
Brand,Ocean International
Maintenance,No Maintenance
Country of Origin,Made in India
Brand,Ocean International
Country of Origin,Made in India
Machine Weight,"6 Ton"
Maintenance,No Maintenance
Plastic Processed,Extruder
Plastic Processed,Extruder
Brand,Ocean International
Country of Origin,Made in India
Maintenance,No Maintenance
Machine Weight,"6 Ton"
Plastic Processed,Extruder
Brand,Ocean International
Maintenance,No Maintenance
Country of Origin,Made in India
Machine Weight,"6 Ton"
Plastic Processed,Extruder
Brand,Ocean International
Country of Origin,Made in India
Machine Weight,"6 Ton"
Maintenance,No Maintenance
Machine Weight,"6 Ton"
Plastic Processed,Extruder
Brand,Ocean International
Country of Origin,Made in India
Maintenance,No Maintenance
Brand,Ocean International
Machine Weight,"6 Ton"
Maintenance,No Maintenance
Plastic Processed,Extruder
Country of Origin,Made in India
Brand,Ocean International
Brand,Ocean International
Country of Origin,Made in India
Color,"Blue, White, Gray"
Brand,Ocean International
Country of Origin,Made in India
Color,"Blue, White, Gray"
Brand,Ocean International
