Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0,5,3,8,9,3,4,62.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF11-0MB0 - part_number | model_number | mpn,brand | manufacturer | model number | motor type | part number,1fk2104-6af11-0mb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF11-0MB0 1 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF11-0MB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | servo |||| 1FK2104-6AF11-0MB0 - part_number | model_number |||| 1 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1 kw | 1fk2104-6af11-0mb0 | servo motor | siemens,company | model | product type,product family | series | servo
SIEMENS SIMOTICS S-1FK2 1FK2106-4AF11-1SA0  servo motor 2.7 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF11-1SA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| 1FK2106-4AF11-1SA0 - part_number | model_number |||| servo motor - motor_type | servo |||| 2.7 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-4af11-1sa0 | 2.7 kw | servo motor | siemens,company | model | product type,product family | series | servo
SIEMENS SIMOTICS S-1FK2 SERVO  MOTOR 1FK2106-4AF00-0MA0 2.7 kW,8,4,11,12,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-0MA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2106-4AF00-0MA0 - part_number | model_number | mpn |||| 2.7 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-4af00-0ma0 | 2.7 kw | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-3AF11-1SA0 2.3 kW,8,3,11,12,4,5,72.7%,75.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.3 kw - power | kilowatt | wattage |||| 1FK2106-3AF11-1SA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | model_family |||| SERVO MOTER - motor_type | type |||| 1FK2106-3AF11-1SA0 - part_number | model_number | sku |||| 2.3 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-3af11-1sa0 | 2.3 kw | siemens,company | model | product type,model family | series | sku | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF00-1MA0 2.7 kW,8,3,11,11,4,5,72.7%,75.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-1MA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTER - motor_type | servo |||| 1FK2106-4AF00-1MA0 - part_number | model_number |||| 2.7 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-4af00-1ma0 | 2.7 kw | siemens,company | model | product type,product family | series | servo
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,8,3,11,11,4,5,72.7%,75.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-0SA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | model_series |||| SERVO MOTER - motor_type | type |||| 1FK2106-4AF10-0SA0 - part_number | model_number |||| 2.7 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-4af10-0sa0 | 2.7 kw | siemens,company | model | product type,model series | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-1SA0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2106-4AF01-1SA0 - part_number | model_number |||| 2.7 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1fk2106-4af01-1sa0 | 2.7 kw | servo motor | siemens,company | model | product type,product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0MB0 0.06 kW,8,4,11,12,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0MB0 - model_number | part_number | model,siemens - brand | manufacturer |||| simotics s-1fk2 - series | product_family |||| servo motor - motor_type | type |||| 1fk2104-4ak01-0mb0 - part_number | model_number | mpn |||| 0.06 kw - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,0.06 kw | 1fk2104-4ak01-0mb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-4AK01-0SB0 0.06 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.06 kw - power | kilowatt | wattage |||| 1FK2104-4AK01-0SB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | model_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-4AK01-0SB0 - part_number | model_number |||| 0.06 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,0.06 kw | 1fk2104-4ak01-0sb0 | servo motor | siemens,company | model | product type,model family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,8,4,11,12,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2104-5AK00-0SB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-5AK00-0SB0 - part_number | model_number | mpn |||| 0.12 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,0.12 kw | 1fk2104-5ak00-0sb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,5,3,8,9,3,4,62.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,siemens - brand | manufacturer |||| simotics s-1fk2 - series | product_family |||| servo motor - motor_type | type |||| 1fk2104-6af01-1sb0 - part_number | model_number | mpn,brand | manufacturer | model number | motor type | part number,1fk2104-6af01-1sb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF01-1SB0 - model_number | part_number | model,siemens - brand | manufacturer |||| simotics s-1fk2 - series | product_family |||| servo motor - motor_type | type |||| 1fk2104-6af01-1sb0 - part_number | model_number |||| 1 kw - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1 kw | 1fk2104-6af01-1sb0 | servo motor | siemens,company | model | product type,product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,5,3,8,9,3,4,62.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF10-0MB0 - part_number | model_number | mpn,brand | manufacturer | model number | motor type | part number,1fk2104-6af10-0mb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,8,4,11,12,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0MB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF10-0MB0 - part_number | model_number | mpn |||| 1 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1 kw | 1fk2104-6af10-0mb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0,5,3,8,9,3,4,62.5%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF10-0SB0 - part_number | model_number | mpn,brand | manufacturer | model number | motor type | part number,1fk2104-6af10-0sb0 | servo motor | siemens,company | model | product type,mpn | product family | series | type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0 1 kW,8,4,11,11,4,5,72.7%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-0SB0 - model_number | part_number | model,SIEMENS - brand | manufacturer |||| SIMOTICS S-1FK2 - series | product_family |||| SERVO MOTOR - motor_type | type |||| 1FK2104-6AF10-0SB0 - part_number | model_number |||| 1 kW - power | wattage | kilowatt,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,1 kw | 1fk2104-6af10-0sb0 | servo motor | siemens,company | model | product type,product family | series | type
