Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-1MB0 1 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 1 kw - power | kilowatt | wattage |||| 1FK2104-6AF10-1MB0 - model_number | part_number | model,1 kw - power |||| 1fk2104-6af10-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,1 kw | 1fk2104-6af10-1mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-0SA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-0SA0 - model_number | part_number | model,1fk2106-4af00-0sa0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af00-0sa0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF00-1SA0  2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF00-1SA0 - model_number | part_number | model,1fk2106-4af00-1sa0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af00-1sa0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0MA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-0MA0 - model_number | part_number | model,1fk2106-4af01-0ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af01-0ma0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-0SA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-0SA0 - model_number | part_number | model,1fk2106-4af01-0sa0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af01-0sa0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF01-1MA0 - model_number | part_number | model,1fk2106-4af01-1ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af01-1ma0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-0MA0 - model_number | part_number | model,1fk2106-4af10-0ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af10-0ma0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 2.7 kw - power | kilowatt | wattage |||| 1FK2106-4AF10-1MA0 - model_number | part_number | model,1fk2106-4af10-1ma0 - model name/number |||| 2.7 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2106-4af10-1ma0 | 2.7 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-0MB0 - model_number | part_number | model,0.12 kw - power |||| 1fk2204-5ak01-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2204-5ak01-0mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0 0.57 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-0SB0 - model_number | part_number | model,0.57 kw - power |||| 1fk2204-5ak01-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.57 kw | 1fk2204-5ak01-0sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-1MB0 - model_number | part_number | model,0.12 kw - power |||| 1fk2204-5ak01-1mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2204-5ak01-1mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-1SB0 - model_number | part_number | model,0.57 kw - power |||| 1fk2204-5ak01-1sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.57 kw | 1fk2204-5ak01-1sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0 0.57 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK10-0MB0 - model_number | part_number | model,0.57 kw - power |||| 1fk2204-5ak10-0mb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.57 kw | 1fk2204-5ak10-0mb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0 0.12 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK10-0SB0 - model_number | part_number | model,0.12 kw - power |||| 1fk2204-5ak10-0sb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.12 kw | 1fk2204-5ak10-0sb0 | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 4.5 kw - power | kilowatt | wattage |||| 1FK2210-3AB01-1SB0 - model_number | part_number | model,1fk2210-3ab01-1sb0 - model name/number |||| 4.5 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2210-3ab01-1sb0 | 4.5 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0 5.5 kW,2,4,11,4,4,4,18.2%,100.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 5.5 kw - power | kilowatt | wattage |||| 1FK2210-3AC01-0MB0 - model_number | part_number | model,1fk2210-3ac01-0mb0 - model name/number |||| 5.5 kw - power |||| servo motor - usage |||| siemens - brand,brand | power,1fk2210-3ac01-0mb0 | 5.5 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,2,3,11,4,4,4,18.2%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.1 kw - power | kilowatt | wattage |||| S200 - model_number | part_number | model,0.1 kw - power |||| 1fl2306-4ac01-0hb0 - model name/number |||| servo motor - usage |||| siemens - brand,brand | power,0.1 kw | servo motor | siemens,company | kilowatt | manufacturer | model | model number | motor type | part number | product type | wattage,model name/number | usage
SIMOTICS 1FK7 1FK7043-4CH7 MOTER 1.2kW,0,0,8,2,3,2,0.0%,0.0%,motor - motor_type | product_type |||| 1.2 kw - power | kilowatt | wattage |||| 1FK7043-4CH7 - model_number | part_number | model,1.2kw - output power |||| 1fk7 1fk7043-4ch7 - model name/number,,,kilowatt | model | model number | motor type | part number | power | product type | wattage,model name/number | output power
SIMOTICS S Synchronous motor 1FK7 1FK7103-2AC71-1RH1,1,0,5,2,2,2,20.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7103-2AC71-1RH1 - model_number | part_number | model,1fk7 1fk7103-2ac71-1rh1 - model name/number |||| synchronous - motor type,motor type,,model | model number | part number | product type,model name/number
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1QB1,1,0,5,2,2,2,20.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1QB1 - model_number | part_number | model,1fk7 1fk7081-3bf71-1qb1 - model name/number |||| synchronous - motor type,motor type,,model | model number | part number | product type,model name/number
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RB1,1,0,5,2,2,2,20.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1RB1 - model_number | part_number | model,1fk7 1fk7081-3bf71-1rb1 - model name/number |||| synchronous - motor type,motor type,,model | model number | part number | product type,model name/number
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RH1,1,0,5,2,2,2,20.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1RH1 - model_number | part_number | model,1fk7 1fk7081-3bf71-1rh1 - model name/number |||| synchronous - motor type,motor type,,model | model number | part number | product type,model name/number
SIMOTICS S synchronous motor 1FK7- 1FK7103-3BC71-1QA1,1,0,5,2,2,2,20.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7103-3BC71-1QA1 - model_number | part_number | model,1fk7- 1fk7103-3bc71-1qa1 - model name/number |||| synchronous - motor type,motor type,,model | model number | part number | product type,model name/number
SMC Electric Actuator,0,0,4,2,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,electric actuator - actuator type |||| smc - brand,,,application | category | product category | use,actuator type | brand
STP-43D2035 Stepper Motor,1,1,7,2,3,2,14.3%,33.3%,stepper motor - motor_type | product_type |||| three phase - phase | supply_phase |||| 43D2035 - model_number | part_number | model,stepper motor - motor type |||| stp-43d2035 - model name/number,motor type,stepper motor,model | model number | part number | phase | product type | supply phase,model name/number
Schneider Ats48 Soft Starter Repairs,1,0,7,2,2,2,14.3%,0.0%,schneider electric - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,ats48 - model name/number |||| schneider - brand,brand,,application | category | company | manufacturer | product category | use,model name/number
Schneider Electric BSH0703P11A2A Servo Motor,0,2,8,2,3,2,0.0%,66.7%,schneider electric - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| BSH0703P11A2A - model_number | part_number | model,bsh0703p11a2a - model name/number |||| servo motor - usage,,bsh0703p11a2a | servo motor,brand | company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
Servo Motor,0,0,2,0,1,0,0.0%,0.0%,servo motor - motor_type | product_type,,,,motor type | product type,
Servo Motor & Variac Motor,0,0,2,0,2,0,0.0%,0.0%,servo motor - motor_type | product_type |||| ac motor - motor_type | product_type,,,,motor type | product type,
Servo Motor Repairing Service,0,1,2,2,1,2,0.0%,100.0%,servo motor - motor_type | product_type,repairing - service |||| servo motor - we repair,,servo motor,motor type | product type,service | we repair
Sew Brake Motor,2,1,5,2,2,2,40.0%,50.0%,sew - brand | manufacturer | company |||| brake motor - motor_type | product_type,brake - motor type |||| sew - brand,brand | motor type,sew,company | manufacturer | product type,
Sew Eurodrive CMP50M AC Synchronous Motor,2,0,7,3,3,3,28.6%,0.0%,sew - brand | manufacturer | company |||| synchronous motor - motor_type | product_type |||| ac - current_type | supply_type,ac synchronous - motor type |||| cmp50m - model name/number |||| sew eurodrive - brand,brand | motor type,,company | current type | manufacturer | product type | supply type,model name/number
